sample,fastq_1,fastq_2,name,treatment,replicate
C14_1,WGBS1/WGBS1_FDLM202642698-1a_HNWGVDSXY_L3_1.fq.gz,WGBS1/WGBS1_FDLM202642698-1a_HNWGVDSXY_L3_2.fq.gz,wtR_c_1,400ppmCO2,1
C14_2,WGBS1/WGBS1_FDLM202642698-1a_HV2WFDSXY_L1_1.fq.gz,WGBS1/WGBS1_FDLM202642698-1a_HV2WFDSXY_L1_2.fq.gz,wtR_c_1,400ppmCO2,1
C15_1,WGBS2/WGBS2_FDLM202642699-1a_HMHJTDSXY_L1_1.fq.gz,WGBS2/WGBS2_FDLM202642699-1a_HMHJTDSXY_L1_2.fq.gz,wtR_c_2,400ppmCO2,2
C15_2,WGBS2/WGBS2_FDLM202642699-1a_HTVYMDSXY_L1_1.fq.gz,WGBS2/WGBS2_FDLM202642699-1a_HTVYMDSXY_L1_2.fq.gz,wtR_c_2,400ppmCO2,2
C16_1,WGBS3/WGBS3_FDLM202642700-1a_HMHJTDSXY_L1_1.fq.gz,WGBS3/WGBS3_FDLM202642700-1a_HMHJTDSXY_L1_2.fq.gz,mR_c_1,400ppmCO2,1
C16_2,WGBS3/WGBS3_FDLM202642700-1a_HTVYMDSXY_L1_1.fq.gz,WGBS3/WGBS3_FDLM202642700-1a_HTVYMDSXY_L1_2.fq.gz,mR_c_1,400ppmCO2,1
C17_1,WGBS4/WGBS4_FDLM202642701-1a_HNWGVDSXY_L3_1.fq.gz,WGBS4/WGBS4_FDLM202642701-1a_HNWGVDSXY_L3_2.fq.gz,mR_c_2,400ppmCO2,2
C17_2,WGBS4/WGBS4_FDLM202642701-1a_HTVYMDSXY_L1_1.fq.gz,WGBS4/WGBS4_FDLM202642701-1a_HTVYMDSXY_L1_2.fq.gz,mR_c_2,400ppmCO2,2
C23_1,WGBS5/WGBS5_FDLM202642702-1a_HNWGVDSXY_L3_1.fq.gz,WGBS5/WGBS5_FDLM202642702-1a_HNWGVDSXY_L3_2.fq.gz,wtR_h_1,3000ppmCO2,1
C23_2,WGBS5/WGBS5_FDLM202642702-1a_HTVYMDSXY_L1_1.fq.gz,WGBS5/WGBS5_FDLM202642702-1a_HTVYMDSXY_L1_2.fq.gz,wtR_h_1,3000ppmCO2,1
C24_1,WGBS6/WGBS6_FDLM202642703-1a_HMHJTDSXY_L1_1.fq.gz,WGBS6/WGBS6_FDLM202642703-1a_HMHJTDSXY_L1_2.fq.gz,wtR_h_2,3000ppmCO2,2
C24_2,WGBS6/WGBS6_FDLM202642703-1a_HTVYMDSXY_L1_1.fq.gz,WGBS6/WGBS6_FDLM202642703-1a_HTVYMDSXY_L1_2.fq.gz,wtR_h_2,3000ppmCO2,3
C25_1,WGBS7/WGBS7_FDLM202642704-1a_HNWGVDSXY_L3_1.fq.gz,WGBS7/WGBS7_FDLM202642704-1a_HNWGVDSXY_L3_2.fq.gz,mR_h_1,3000ppmCO2,1
C25_2,WGBS7/WGBS7_FDLM202642704-1a_HTVYMDSXY_L1_1.fq.gz,WGBS7/WGBS7_FDLM202642704-1a_HTVYMDSXY_L1_2.fq.gz,mR_h_1,3000ppmCO2,1
C26_1,WGBS8/WGBS8_FDLM202642705-1a_HMHJTDSXY_L1_1.fq.gz,WGBS8/WGBS8_FDLM202642705-1a_HMHJTDSXY_L1_2.fq.gz,mR_h_2,3000ppmCO2,2
C26_2,WGBS8/WGBS8_FDLM202642705-1a_HTVYMDSXY_L1_1.fq.gz,WGBS8/WGBS8_FDLM202642705-1a_HTVYMDSXY_L1_2.fq.gz,mR_h_2,3000ppmCO2,2
